effective_liability,unsafe_replicator,unsafe_sml
0.09295439282981686,1.0000000000000004,0.9903884364305057
0.0971081326990832,1.0000000000000004,0.9899347785349456
0.10144748568867962,1.0000000000000004,0.9894384343340051
0.1059807460663078,1.0000000000000004,0.9888943105030369
0.1107165787355198,1.0000000000000004,0.9882965787103577
0.1156640357978715,0.9999960650543467,0.9876385527683221
0.11627906988372123,0.9997595784633511,0.9875542667249368
0.12083257385516874,0.9895156103069247,0.9869125427677093
0.1262320720848778,0.9770833290359072,0.9861096814964644
0.13187285112325012,0.9640955015361529,0.985219717431024
0.13776569279225362,0.9505273027891832,0.9842307673557978
0.14392186070801805,0.9363527984511236,0.9831290201705525
0.15035312181018437,0.9215448952816118,0.9818983816382032
0.1570717688533103,0.9060752893576309,0.9805200476558963
0.16409064390332193,0.8899144119731867,0.97897199105109
0.17142316288392226,0.8730313731214816,0.9772283438731874
0.17908334121987585,0.8553939024515784,0.9752586536578138
0.1870858206261833,0.8369682875866022,0.9730269882256228
0.1954458970943512,0.8177193096857308,0.9704908593777416
0.20417955012925024,0.7976101761266391,0.9675999316703111
0.21330347329244562,0.776602450179834,0.9642944788747899
0.22283510611037957,0.7546559775404701,0.9605035487939301
0.2327926674083968,0.7317288095771257,0.9561427985507982
0.24319519013432592,0.7077771231509131,0.951111970132813
0.2540625577381808,0.6827551368516547,0.9452919943018028
0.26541554217751706,0.6566150234909955,0.9385417467272721
0.2772758436210875,0.6293068186851858,0.9306945432338671
0.2896661319266868,0.600778325352856,0.9215545651194862
0.3026100899724661,0.5709750139451543,0.9108935684519736
0.3161324589245411,0.5398399182176203,0.8984484737790223
0.3302590855274191,0.5073135263445288,0.8839207736590312
0.3450169715076355,0.4733336671675936,0.866979140800244
0.3604343251850304,0.4378353913616156,0.8472671407388112
0.37654061539031614,0.4007508472899177,0.824418450643782
0.3933666277919927,0.3620091513122701,0.7980822413827412
0.4109445237402768,0.32153625229745025,0.7679610109342278
0.429307901740516,0.2792547900814243,0.7338616247320628
0.44849186167359234,0.23508394760061221,0.6957570740840813
0.4685330718860646,0.18893929641764073,0.6538513339192853
0.48946983927828513,0.14073263534425864,0.608633507354379
0.5113421825244606,0.09037182185302044,0.5609025584020236
0.5341919085646075,0.03776059595545088,0.5117440576126672
0.5505918172712005,0.00024146564976250796,0.4775787923213835
0.5580626925146107,0.0,0.4624487891170151
0.5830001611471258,0.0,0.4143796652550529
0.6090519801028915,6.624393949896013e-20,0.3688125086827762
0.6362679449991463,1.7644372829229697e-22,0.3267884166907171
0.6647000766092978,2.6656449054132828e-20,0.2890132019448239
0.69440272029577,6.886142586822575e-20,0.2558231962842928
0.7254326498860832,2.5352356074578623e-20,0.22721487292515097
0.7578491761907205,9.057681375916488e-20,0.2029187273965885
0.7917142603701987,0.0,0.18249153448056188
0.8270926323680363,0.0,0.16540466962931918
0.864051914635991,7.868325836597676e-25,0.15111483704837786
0.9026627513880564,8.094687672879694e-25,0.13911238088608147
0.942998943630275,5.825434801982451e-24,0.1289486059577818
0.9851375902244643,5.844602752015606e-24,0.12024666097868823
1.0291592352554857,2.0117778355313603e-24,0.11270126532799003
1.0751480219837344,9.81443779920676e-25,0.10607192977168822
1.1231918536771215,2.991304717458961e-25,0.10017317052253588
1.1733825616299491,8.568291510279854e-26,0.09486404692735494
1.2258160806898555,2.40851618535801e-25,0.09003839184390873
1.2805926326283015,4.7059534088189115e-28,0.08561640691433359
1.3378169177051302,5.715844850925466e-26,0.08153783745837653
1.3975983147933184,3.0578589863630845e-29,0.07775667079226273
1.460051090446481,1.3538578382329478e-24,0.07423716324991458
1.525294617308698,0.0,0.07095094960221743
1.5934536022841783,3.541004451850629e-24,0.06787498939708582
1.6646583249028475,5.682653789263208e-25,0.06499013338163726
1.739044886337489,0.0,0.06228013313882097
1.8167554695484285,2.3068732924308643e-24,0.059730764107608726
1.8979386110529604,1.047547167886578e-24,0.05733024448618876
1.9827494848390341,2.9234736083183104e-24,0.0550673133843662
2.0666666687333337,1.316441270969267e-24,0.05303985076891121
2.0713501989658147,7.041512984960073e-25,0.052932295260978854
2.163910105418103,4.061573059904353e-24,0.050916472500643434
2.2606061238068134,1.299095866739896e-24,0.049011957132429104
2.36162307953429,5.652100365227572e-24,0.04721158447498066
2.4671540570707746,2.665349219254266e-29,0.04550882427054783
2.577400769017345,2.388728955392225e-28,0.04389770586009295
2.6925739416606804,8.372501292339065e-25,0.04237275471620045
